"","abundance.1","abundance.2","abundance.3","abundance.4","abundance.5","abundance.6","counts.1","counts.2","counts.3","counts.4","counts.5","counts.6","length.1","length.2","length.3","length.4","length.5","length.6","countsFromAbundance"
"ENSMUSG00000000296",5.19,6.58,6.57,4.07,5.46,6.37,66,87,75,50,61,54,1218,1218,1218,1218,1218,1218,"no"
"ENSMUSG00000000301",239.49,276.49,262.32,305.39,284.28,254.28,2266,2808,2332,2830,2462,1672,906.84,935.63,949.11,918.35,943.85,944.02,"no"
"ENSMUSG00000000303",10.41,10.68,11.88,10.43,11.57,11.01,476,508,486,437,465,336,4381,4381,4367.08,4151.5,4381,4381,"no"
"ENSMUSG00000000305",0.14,0.16,0.31,0.09,0.17,0.21,5,11,5,2,10,1,3490,6339,1745,2318,6339,698,"no"
"ENSMUSG00000000308",0,0,0.69,0.15,0.17,0,0,0,4,1,1,0,848.9,848.9,622.9,646,654,848.9,"no"
"ENSMUSG00000000317",0.95,2.06,2.31,0.84,1.02,1.17,25,74,66,28,31,27,2512.5,3317,3047.23,3317,3317,3317,"no"
"ENSMUSG00000000318",0.9,0.25,1.12,0.54,0.82,0.28,4,3,5,5.51,3.35,2.73,424.7,1092,474.54,1005.09,442.79,1405,"no"
"ENSMUSG00000000320",0.23,0.54,0.29,0.58,0.33,0.15,6,16,8,14,9,3,2541.51,2732.59,2952,2395.86,2952,2952,"no"
"ENSMUSG00000000325",4.48,4.3,3.93,4.62,4.25,7.92,117.01,103.6,70.39,119.55,121.53,91.37,2502.77,2220.18,1910.54,2565.19,3119.21,1657.21,"no"
"ENSMUSG00000000326",547.3,721.62,673.42,720.97,733.18,528.41,6837.99,9536.18,8087.77,9088.22,8361.93,4508.86,1197.46,1217.47,1282.2,1249.21,1242.98,1225.06,"no"
"ENSMUSG00000000339",5.66,5.37,7.28,6.13,5.59,7.77,64.79,90.09,82.56,79.2,69.07,62.66,1097.08,1545,1211.57,1280.36,1346.95,1157.97,"no"
"ENSMUSG00000000340",39.55,30.5,36.37,26.74,28.87,35.33,1340,1075,1106,876,860,799,3247,3247,3247,3247,3247,3247,"no"
"ENSMUSG00000000346",84.41,80.36,85.97,68.48,77.58,65.85,1565,1550,1431,1228,1265,815,1777,1777,1777,1777,1777,1777,"no"
"ENSMUSG00000000355",42.76,32.28,35.03,34.05,38.64,34.64,301,232,208,231,237,171,674.72,662.06,633.85,672.36,668.45,708.71,"no"
"ENSMUSG00000000359",0.12,0.52,0.34,0.12,0.41,0.27,2,8,5,2,6,3,1614,1428.87,1551.36,1614,1614,1614,"no"
"ENSMUSG00000000365",0.02,0.02,0.02,0.02,0,0.03,1,1,1,1,0,1,5099,5099,5099,5099,5099,5099,"no"
"ENSMUSG00000000374",6.54,8.24,6.79,7.06,7.48,6.38,341,447,318,356,343,222,4999,4999,4999,4999,4999,4999,"no"
"ENSMUSG00000000378",12.25,16.71,17.65,11.05,11.61,15.11,215,274,236,174,178,147,1681.93,1510.86,1427.45,1560.87,1670.98,1396.86,"no"
"ENSMUSG00000000381",0,0,0,0,0,0,0,0,0,0,0,0,610.33,610.33,610.33,610.33,610.33,610.33,"no"
"ENSMUSG00000000384",15,21.03,21.98,17.16,21,18.01,296.12,406.97,339,327,354,202,1891.61,1782.42,1646.45,1887.93,1836.84,1609.91,"no"
"ENSMUSG00000000385",0.8,1.9,0.89,1.47,0.95,1.15,26,64,26,46,27,25,3110,3110,3110,3110,3110,3110,"no"
"ENSMUSG00000000386",0.96,0.43,0.69,0.61,0.68,0.8,20.37,11.59,17.44,17.62,17.56,14.74,2042.92,2503.23,2686.34,2861.97,2815.54,2646,"no"
"ENSMUSG00000000392",0.09,0.08,0.1,0.08,0.09,0.5,2,1,2,1,1,4,2138,1220,2138,1220,1220,1142.17,"no"
"ENSMUSG00000000394",0,0,0,0,0,0,0,0,0,0,0,0,787.33,787.33,787.33,787.33,787.33,787.33,"no"
"ENSMUSG00000000399",82.89,78.59,74.98,66.01,75.51,72.18,1101,1086,894,848,882,640,1273,1273,1273,1273,1273,1273,"no"
"ENSMUSG00000000402",0,0.03,0.16,0,0,0.11,0,1,4,0,0,2,2655,2655,2655,2655,2655,2655,"no"
"ENSMUSG00000000409",0.53,0.59,0.78,0.78,1.05,1.47,8,13,8,16,16,11,1460,2025,1091.8,2025,1660.8,1074.92,"no"
"ENSMUSG00000000411",0,0,0.35,0,0,0,0,0,4,0,0,0,1231,1231,1231,1231,1231,1231,"no"
"ENSMUSG00000000416",0.2,0,0.23,0.03,0.17,0.26,6,0,6,1,1,2,2837.98,2625.6,2807.02,3933,630,1086.04,"no"
"ENSMUSG00000000420",19.55,18.93,19.35,19.04,20.36,23.93,678,667,615,544,674,502,3323.94,3245.29,3392.71,2831.63,3608.05,3011.57,"no"
"ENSMUSG00000000435",0,0,0,0,0,0,0,0,0,0,0,0,2034,2034,2034,2034,2034,2034,"no"
"ENSMUSG00000000439",7.26,5.37,6.69,6.58,7.42,6.72,165.89,127.6,137.38,145.58,149.21,102.56,2191,2191,2191,2191,2191,2191,"no"
"ENSMUSG00000000440",5.8,6.57,6.91,6.75,7.72,7.52,108,128,116,119,124,91,1783.42,1795.1,1791.6,1746.72,1751.41,1738.23,"no"
"ENSMUSG00000000441",40.07,37,40.8,18.16,36.78,32.01,1078.27,1222.89,1017.07,558.91,948.91,664.37,2579.33,3045.1,2661.49,3049.8,2812.09,2979.4,"no"
"ENSMUSG00000000486",0.68,1.55,0.62,1.07,3.11,1.1,8,15,7,11,18,8,1130,890.67,1213.33,1014.75,629.83,1040,"no"
"ENSMUSG00000000489",0.2,0.35,0.63,0.59,0.46,0.75,6,11,17,17,12,15,2869,2869,2869,2869,2869,2869,"no"
"ENSMUSG00000000530",1.17,2.07,1.75,1.22,1.97,1.54,32,51,35,35,47,32,2616,2264.98,2135,2846.67,2598.22,2979.37,"no"
"ENSMUSG00000000531",0.44,1.17,0.76,0.61,1.28,0.44,9,25,14,12,23,6,1964,1964,1964,1964,1964,1964,"no"
"ENSMUSG00000000532",2.19,2.66,2.17,3.05,2.47,3.32,99,125,88,133,98,100,4326,4326,4326,4326,4326,4326,"no"
"ENSMUSG00000000538",12.19,10.86,12.89,12.07,13.27,11.68,460.08,465.28,420.53,452.84,397.36,290.01,3617.08,3947.66,3483.83,3716.78,3263.6,3565.06,"no"
"ENSMUSG00000000544",0,0,0,0,0,0,0,0,0,0,0,0,1458,1458,1458,1458,1458,1458,"no"
"ENSMUSG00000000552",3.85,5.59,5.14,4.24,3.79,2.37,90,136,108,96,78,37,2242,2242,2242,2242,2242,2242,"no"
"ENSMUSG00000000555",4.69,5.72,5.52,4.51,3.83,4.94,212,269,224,197,152,149,4330,4330,4330,4330,4330,4330,"no"
"ENSMUSG00000000560",0,0,0,0,0,0,0,0,0,0,0,0,2343,2343,2343,2343,2343,2343,"no"
"ENSMUSG00000000561",20.28,22.35,22.47,20.15,19.54,16.72,375.46,382.27,363.02,362.74,328.37,239.77,1774.08,1576.06,1724.99,1783.59,1831.58,2058.75,"no"
"ENSMUSG00000000562",0.08,0,0.05,0,0.56,0,1,0,1,0,6,0,1170,1745.5,2321,1745.5,1170,1745.5,"no"
"ENSMUSG00000000563",292.52,212.69,248.82,205.18,254.28,251.85,3172.3,2954.43,2995.09,2684.7,3000.51,1917.23,1039.4,1279.73,1285.11,1296.69,1286.02,1092.95,"no"
"ENSMUSG00000000567",0.99,1.94,1.7,0.92,1.04,1.12,42,86,65,38,39,32,4086,4086,4086,4086,4086,4086,"no"
"ENSMUSG00000000568",22.82,25.83,21.54,22.22,30.23,26.29,247,251.44,212.08,267.78,226.71,207,1037.23,896.72,1051.2,1194.05,817.42,1130.41,"no"
"ENSMUSG00000000579",3.05,1.09,1,1.11,2.15,1.7,30.8,14.85,16.28,13.28,17.9,13.19,967.74,1256.17,1746.04,1186.39,907.47,1115.5,"no"
"ENSMUSG00000000581",36.67,30.06,33.12,33.66,39.75,34.15,471,334,344,291,300,280,1231.11,1023.81,1108.74,856.68,822.45,1177.27,"no"
"ENSMUSG00000000594",28.53,25.14,31.97,20.22,24.83,22.81,1214,1113,1221,832,929,648,4078,4078,4078,4078,4078,4078,"no"
"ENSMUSG00000000600",5.01,3.95,3.72,3.39,3.88,4.91,316,258,210,207,215,207,6047.03,6022.65,6029.88,6048.04,6046.42,6056,"no"
"ENSMUSG00000000605",18.05,15.38,16.29,15.38,17.76,15.91,853,756,691,703,738,502,4529,4529,4529,4529,4529,4529,"no"
"ENSMUSG00000000606",0,0,0,0,0,0,0,0,0,0,0,0,2702.33,2702.33,2702.33,2702.33,2702.33,2702.33,"no"
"ENSMUSG00000000617",0,0,0,0,0,0,0,0,0,0,0,0,3298.25,3298.25,3298.25,3298.25,3298.25,3298.25,"no"
"ENSMUSG00000000627",0.07,0.02,0,0,0.37,0.04,2,1,0,0,3,1,2705,4037,2346,2346,888,4037,"no"
"ENSMUSG00000000628",0.3,0.51,1.18,0.66,0.2,0.53,6,12,16,17,4,4,1915.96,2180,1453.33,2550.32,2180,1090,"no"
"ENSMUSG00000000631",22.21,28.58,24.91,23.65,28.3,15.42,1042,1247,1224,1130,1092,608,4496.43,4019.48,5246.52,4735.89,4205.43,5659.91,"no"
"ENSMUSG00000000632",0,0,0,0,0,0,0,0,0,0,0,0,2586.22,2586.22,2586.22,2586.22,2586.22,2586.22,"no"
"ENSMUSG00000000673",314,362.78,374.62,377.3,399.24,337.57,3843,4619,4116,4466,4297,2758,1173,1173,1173,1173,1173,1173,"no"
"ENSMUSG00000000682",12.37,11.89,14.23,11.09,14.53,16.98,60,60,62,52,62,55,465,465,465,464.81,465,465,"no"
"ENSMUSG00000000686",7.55,9.72,7.73,11.78,11.04,9.8,205.91,240.25,189.3,305.49,258.35,178.27,2613,2277.03,2613,2569.15,2551.42,2613,"no"
"ENSMUSG00000000690",0,0,0,0.07,0,0,0,0,0,1,0,0,1700.5,1700.5,1700.5,1488,1700.5,1700.5,"no"
"ENSMUSG00000000693",1.46,0.72,0.38,0.71,1.36,0.77,24.76,25.91,12.48,18.81,26.77,13.6,1620.31,3331.56,3481.92,2643.11,2149.23,2547.06,"no"
"ENSMUSG00000000701",0,0,0,0,0,0,0,0,0,0,0,0,990,990,990,990,990,990,"no"
"ENSMUSG00000000706",0,0,0,0,0,0,0,0,0,0,0,0,2201,2201,2201,2201,2201,2201,"no"
"ENSMUSG00000000708",50.4,33.84,45.37,26.88,38.99,29.31,1541,1194,979.38,732,1001,701,2930.37,3250.41,2304.68,2698.63,2798.18,3434.19,"no"
"ENSMUSG00000000711",43.79,44.23,50.35,44.45,48.48,41.09,1424,1496.37,1470,1398,1386.49,892,3117,3117,3117,3117,3117,3117,"no"
"ENSMUSG00000000724",0,0.07,0,0.22,0,0,0,1,0,3,0,0,1028.5,1328,1028.5,1328,1028.5,1028.5,"no"
"ENSMUSG00000000730",0,0,0,0,0,0,0,0,0,0,0,0,1153.25,1153.25,1153.25,1153.25,1153.25,1153.25,"no"
"ENSMUSG00000000731",0,0,0,0,0,0,0,0,0,0,0,0,1655.81,1655.81,1655.81,1655.81,1655.81,1655.81,"no"
"ENSMUSG00000000732",0.14,0.61,0.95,0.29,0.97,0.48,4,18,24,8,24,9,2707,2707,2707,2707,2707,2707,"no"
"ENSMUSG00000000738",22.6,26.01,22.56,21.96,19.57,17.32,425,476,428,426,367,274,1802.05,1685.81,2025.4,1922.52,2043.91,2271.45,"no"
"ENSMUSG00000000739",5.44,7.11,5.85,18.65,12.3,9.35,43,66,44,171,101,58,756.96,855.51,803.08,908.82,894.71,890.52,"no"
"ENSMUSG00000000740",39.35,32.74,74.67,60.39,54.12,22.18,310.05,275.56,524.83,455.66,365.29,120.71,755.25,775.45,750.38,747.79,735.6,781.3,"no"
"ENSMUSG00000000743",27.07,31.29,28.8,31.42,32.84,26.66,565,675,544,634,607,371,2000.2,1987.47,2016.71,1999.44,2014.15,1997.75,"no"
"ENSMUSG00000000751",12.66,10.67,10.76,13.44,13,15.68,338,295,241,340,318,299,2558.39,2548.08,2391.81,2507.76,2664.95,2738.53,"no"
"ENSMUSG00000000753",701.26,766.23,700.34,694.06,781.55,627.84,5553,6541,5189,5548,5576,3347,758.95,786.46,791.02,792.15,777.56,765.37,"no"
"ENSMUSG00000000759",8.43,6.93,7.28,6.77,6.56,10.5,244,246,214,210,179,164,2775.46,3268.76,3138.68,3072.27,2972.96,2242.45,"no"
"ENSMUSG00000000766",0,0,0,0,0,0,0,0,0,0,0,0,1423.48,1423.48,1423.48,1423.48,1423.48,1423.48,"no"
"ENSMUSG00000000776",2.4,3.6,4.8,5.6,4.8,3.87,50,77,90,113,88,53,2000,1968,2000,2000,2000,1968,"no"
"ENSMUSG00000000782",1.99,1.73,2.05,1.56,1.66,1.98,41,36,44,34,34,29,1974.76,1912.8,2294.79,2154.14,2230.5,2108.1,"no"
"ENSMUSG00000000787",74.54,71.8,75.39,46.98,59.4,67.06,3435,3477.56,3128.27,2094.7,2435,1933,4416.85,4461.87,4430.29,4418.45,4467.62,4138.69,"no"
"ENSMUSG00000000791",0.27,0.49,0.34,0.56,0.46,0.31,8,15,9,16,12,6,2824,2824,2824,2824,2824,2824,"no"
"ENSMUSG00000000792",0,0,0,0,0.04,0,0,0,0,0,1,0,2879,2879,2879,2879,2879,2879,"no"
"ENSMUSG00000000794",0,0,0,0,0,0.05,0,0,0,0,0,1,1775,1775,1775,1775,1775,2835,"no"
"ENSMUSG00000000804",10.23,10.72,9.58,13.15,12.38,11.48,561,527,514,401,426,325,5253.43,4528.64,5730.57,3022.91,3750.07,4063.19,"no"
"ENSMUSG00000000805",0,0,0,0,0,0,0,0,0,0,0,0,630,630,630,630,630,630,"no"
"ENSMUSG00000000811",2.51,2.58,2.95,3.24,3.4,2.73,73,78,77,91,87,53,2787,2787,2787,2787,2787,2787,"no"
"ENSMUSG00000000817",0.3,0.24,0,0.11,0.06,0.15,6,5,0,2,1,2,1886,1886,1886,1886,1886,1886,"no"
"ENSMUSG00000000823",9.15,10.2,7.43,7.88,5.16,9.06,300.72,332.89,242,269.89,243,181.69,3150.96,3006.92,3475.32,3392.99,5127.79,2880.3,"no"
"ENSMUSG00000000826",17.49,20.77,20.45,18.27,20.43,17.59,891,1003,885,785,880,591,4882.45,4449.32,4619.46,4257.12,4694.99,4822.42,"no"
"ENSMUSG00000000827",19.34,25.84,25.13,21.63,29.47,23.16,260.36,327,266,264,288,200,1290.49,1166,1129.86,1209.7,1064.95,1239.69,"no"
"ENSMUSG00000000838",9.79,8,6.69,7.8,8.07,10.49,377.83,287,243,267.41,277.12,238.88,3698.18,3307.09,3875.99,3396.78,3744.25,3269.51,"no"
"ENSMUSG00000000861",0.04,0.02,0.17,0.07,0.11,0,1,1,4.79,3,4,0,2280,5836,3012,4368,4016,3173.5,"no"
"ENSMUSG00000000869",0,0.57,0.22,0.2,0,0.29,0,3,1,1,0,1,517.5,488.28,492,492,517.5,492,"no"
"ENSMUSG00000000876",49.75,54.77,47.53,42.02,48.36,42.1,1204,1255,1022,923,873,645,2319.35,2111.14,2295.78,2176.61,1967.52,2199.49,"no"
"ENSMUSG00000000881",6.01,5.42,9.63,6.36,5.13,4.79,186,142,156,149,136,109,2964.37,2414,1729.57,2320.74,2890,3267,"no"
"ENSMUSG00000000884",1.97,0.67,1.24,1.68,1.9,1.02,8.7,12.72,14,19.87,16,11.43,423.36,1744.17,1207.1,1173.65,918.76,1610.89,"no"
"ENSMUSG00000000889",0,0,0,0,0,0,0,0,0,0,0,0,1329.5,1329.5,1329.5,1329.5,1329.5,1329.5,"no"
"ENSMUSG00000000901",0.36,0.12,0,0.35,1.79,0.08,5,3,0,2,10,1,1330,2239,1108.8,572,610.37,1744,"no"
"ENSMUSG00000000902",9.33,11.12,10.08,9.04,9.62,11.47,166,213,171,163,153,138,1704.48,1764.3,1810.48,1786.63,1733.69,1727.19,"no"
"ENSMUSG00000000903",0,0.14,0,0.17,0,0,0,1,0,1,0,0,628,680,628,576,628,628,"no"
"ENSMUSG00000000915",8.94,11.61,16.02,13.11,10.79,8.97,296,479,530,552,417,263,3174.35,3800.68,3532.23,4173.58,4211.33,4208,"no"
"ENSMUSG00000000916",4.85,8.08,6.34,5.85,7.65,7.93,97.51,105.87,87.63,86.61,86.43,64.01,1925.71,1207.03,1475.5,1467.59,1230.86,1158.7,"no"
"ENSMUSG00000000934",10.28,10.58,10.25,9.14,7.23,7.9,198.85,213,178,171,123,101.98,1854,1854,1854,1854,1854,1854,"no"
"ENSMUSG00000000938",0,0,0,0,0,0,0,0,0,0,0,0,1640,1640,1640,1640,1640,1640,"no"
"ENSMUSG00000000942",0.19,0.24,0,0.13,0.21,0.19,3,4,0,2,3,2,1545,1545,1545,1545,1545,1545,"no"
"ENSMUSG00000000948",5.64,4.62,4.91,4.39,3.37,4.69,110.83,94.37,86.69,83.4,58.16,61.45,1883,1883,1883,1883,1883,1883,"no"
"ENSMUSG00000000957",7.97,8.79,8.3,9.45,9.37,8.73,212,243,198,243,219,155,2548,2548,2548,2548,2548,2548,"no"
"ENSMUSG00000000958",1.25,2.24,2.15,2.25,2.58,2.47,27.2,50.9,42.1,47.58,49.61,36,2093,2093,2093,2093,2093,2093,"no"
"ENSMUSG00000000959",17.19,20.28,19.89,17.16,18.57,14.39,445.8,547.1,462.9,430.42,423.39,249,2485,2485,2485,2485,2485,2485,"no"
"ENSMUSG00000000976",5.88,10.01,6.55,6.1,6.89,5.48,228,325,278,254,242,171,3716,2990.61,4529.06,4129.54,3827.27,4477.99,"no"
"ENSMUSG00000000982",0,0,0.15,0.28,0.46,0.2,0,0,1,2,3,1,717,717,717,717,717,717,"no"
"ENSMUSG00000000983",0,0.21,0,0,0,0,0,2,0,0,0,0,608.33,868,608.33,608.33,608.33,608.33,"no"
"ENSMUSG00000001014",0,0.17,0,0.12,0,0.33,0,1.55,0,1,0,2,858,858,858,858,858,858,"no"
"ENSMUSG00000001016",9.55,6.19,8.6,6.03,8.92,7.5,191.72,129.26,154.93,117.16,157.55,100.49,1924,1924,1924,1924,1924,1924,"no"
"ENSMUSG00000001017",22.38,24.77,23.54,21.7,21.09,22.41,593,591,541,486,484,388,2539.55,2198.05,2453.97,2219.89,2501.68,2485.97,"no"
"ENSMUSG00000001018",13.72,13.04,12.96,14.12,14.76,19.99,198.28,189.74,163.07,194.84,187.45,165.51,1384.79,1340.25,1343.42,1367.6,1384.24,1188.95,"no"
"ENSMUSG00000001020",0.67,1.44,0.74,0.44,0.24,0.64,2,7,3,2,1,2,287,449,430.5,449,449,449,"no"
"ENSMUSG00000001021",0,0,0,0,0,0,0,0,0,0,0,0,663,663,663,663,663,663,"no"
"ENSMUSG00000001023",0,0,0,0,0,0,0,0,0,0,0,0,377.5,377.5,377.5,377.5,377.5,377.5,"no"
"ENSMUSG00000001025",0.43,0.83,1.27,1.92,1.63,4.71,3,6,8,13,10,22,670,670,670,670,670,670,"no"
"ENSMUSG00000001027",0,0,0,0,0.02,0,0,0,0,0,1,0,3471.5,3471.5,3471.5,3471.5,6549,3471.5,"no"
"ENSMUSG00000001029",2.19,4.56,4.07,3.5,3.58,2.84,22,38,34,31,29,18,962.5,767.31,892.5,876.68,883.7,910.69,"no"
"ENSMUSG00000001034",1.16,1.36,1.17,1.62,1.29,0.86,27,31,23,23,36,12,2227.39,2103.72,2102.26,1407.01,3048.83,2008.87,"no"
"ENSMUSG00000001036",2.32,3.47,2.12,2.66,2.15,4.2,91,102,83,100,82,84,3759.93,2707.75,4183.69,3730.71,4158,2869.86,"no"
"ENSMUSG00000001039",0.53,0.6,0.7,0.87,0.4,0.74,3,4,4,5,2,4,545,612,612,572.61,545,771.14,"no"
"ENSMUSG00000001052",9.58,17.25,14.15,11.48,18.71,9.38,338,366,313,301,321,219,3383.09,1954.74,2361.76,2597.64,1869.75,3353.18,"no"
